startTime,description,event_resource
1941-02-12,Erwin Rommel arrives in Tripoli.,
1941-02-14,Admiral Kichisaburō Nomura begins his duties as Japanese Ambassador to the United States.,
1941-02-14,World War II – Attack on Pearl Harbor: Admiral Kichisaburō Nomura begins his duties as Japanese ambassador to the United States.,
1941-02-17,"The Battle of Trebeshina  or the Battle of Mal Trebeshinë, was a series of engagements fought between the Greek and Italian armies in south-eastern Albania during the Greco-Italian War.",http://dbpedia.org/resource/Battle_of_Trebeshina
1941-02-19,"Three Nights' Blitz over Swansea, South Wales: Over these 3 nights of intensive bombing, which lasts a total of 13 hours and 48 minutes, Swansea's town centre is almost completely obliterated by the 896 high explosive bombs employed by the Luftwaffe; 397 casualties and 230 deaths are reported.",
1941-02-22,"Bombards Barawa, on the coast between Kismayo and Mogadishu.",
1941-02-25,"Operation Abstention was a code name given to a British invasion of the Italian island of Kastelorizo  off the Turkish Aegean coast, during the Second World War, in late February 1941.",http://dbpedia.org/resource/Operation_Abstention
1941-02-27,The Action of 27 February 1941 was a single ship action between a New Zealand cruiser and an Italian auxiliary cruiser.,http://dbpedia.org/resource/Action_of_27_February_1941
1941-02-27,The New Zealand Division cruiser HMS Leander (1931) sinks Italian armed merchant raider Ramb I off the Maldives.,
,"A 93-year-old World War II veteran has reunited with his wartime sweetheart more than 70 years after they last said goodbye.

Norwood Thomas was a 21-year-old paratrooper when he met 17-year-old British girl Joyce Morris in London just before D-Day. They dated for a few months before the war intervened and saw Mr Thomas sent to Normandy.

After the war ended he returned to his native America but the pair wrote letters to each other, Mr Thomas even asking his beloved to come to the US and marry h..",
,"A 93-year-old World War II veteran has reunited with his wartime sweetheart more than 70 years after they last said goodbye.

Norwood Thomas was a 21-year-old paratrooper when he met 17-year-old British girl Joyce Morris in London just before D-Day. They dated for a few months before the war intervened and saw Mr Thomas sent to Normandy.

After the war ended he returned to his native America but the pair wrote letters to each other, Mr Thomas even asking his beloved to come to the US and marry h..",
,"A 93-year-old World War II veteran has reunited with his wartime sweetheart more than 70 years after they last said goodbye.

Norwood Thomas was a 21-year-old paratrooper when he met 17-year-old British girl Joyce Morris in London just before D-Day. They dated for a few months before the war intervened and saw Mr Thomas sent to Normandy.

After the war ended he returned to his native America but the pair wrote letters to each other, Mr Thomas even asking his beloved to come to the US and marry h..",
,"A 93-year-old World War II veteran has reunited with his wartime sweetheart more than 70 years after they last said goodbye.

Norwood Thomas was a 21-year-old paratrooper when he met 17-year-old British girl Joyce Morris in London just before D-Day. They dated for a few months before the war intervened and saw Mr Thomas sent to Normandy.

After the war ended he returned to his native America but the pair wrote letters to each other, Mr Thomas even asking his beloved to come to the US and marry h..",
,"A 93-year-old World War II veteran has reunited with his wartime sweetheart more than 70 years after they last said goodbye.

Norwood Thomas was a 21-year-old paratrooper when he met 17-year-old British girl Joyce Morris in London just before D-Day. They dated for a few months before the war intervened and saw Mr Thomas sent to Normandy.

After the war ended he returned to his native America but the pair wrote letters to each other, Mr Thomas even asking his beloved to come to the US and marry h..",
,"A 93-year-old World War II veteran has reunited with his wartime sweetheart more than 70 years after they last said goodbye.

Norwood Thomas was a 21-year-old paratrooper when he met 17-year-old British girl Joyce Morris in London just before D-Day. They dated for a few months before the war intervened and saw Mr Thomas sent to Normandy.

After the war ended he returned to his native America but the pair wrote letters to each other, Mr Thomas even asking his beloved to come to the US and marry h..",
,"June 6, 1944 marked the amphibious landing of allied troops on the beachhead of Normandy. This monumental achievement of World War II showed the bravery of U.S. and Allied troops, resulted in countless casualties and spelled the eventual defeat of Nazi Germany.

Seventy-five years later and a day, a commemoration of the D-Day landing was held at the World War II Memorial in Washington, D.C., on June 7, sponsored by the Grand Lodge of Free and Accepted Masons of the District of Columbia. Present ..",
,"Keith Lowe delivers a talk on World War II that gives reasons why we shouldn't bring it up as an argument in social contexts, especially in the sphere of politics, economics, and international relations.

The speaker is a historian of the Second World War and its aftermath. In his keynote, he carefully explores the motivators behind the event's contemporary popularity. A focus is set on how we perceive the war and what it is we think we are remembering. Lowe holds the belief that the Second Worl..",
